id	id_mv	date	mvalue
1	2072	2018-12-16	100000000
2	3137	2018-12-16	100000000
3	2908	2018-12-16	300000000
4	1100	2018-12-10	400000000
5	2532	2018-12-14	400000000
6	994	2018-12-07	100000000
7	1718	2018-12-05	100000000
8	2604	2018-12-04	100000000
9	2363	2018-12-23	400000000
10	535	2018-12-23	100000000
11	303	2018-12-24	100000000
12	770	2018-12-28	100000000
13	2395	2018-12-30	300000000
14	1700	2019-01-04	300000000
15	854	2019-01-04	100000000
16	1098	2019-01-08	400000000
17	2296	2019-01-09	600000000
18	2582	2019-01-13	600000000
19	1881	2019-01-20	400000000
20	2194	2019-01-26	200000000
21	2129	2019-01-26	500000000
22	1423	2019-01-30	100000000
23	2248	2019-02-04	100000000
24	2099	2019-02-07	200000000
25	2795	2019-02-08	100000000
26	3215	2019-02-10	200000000
27	1597	2019-02-10	500000000
28	1699	2019-02-14	500000000
29	1963	2019-02-23	300000000
30	3095	2019-02-24	100000000
31	3243	2019-02-25	100000000
32	2526	2019-02-26	100000000
33	822	2019-02-26	100000000
34	244	2019-03-03	3300000000
35	2606	2019-03-03	100000000
36	3603	2019-03-04	100000000
37	2582	2019-03-09	700000000
38	2599	2019-03-14	200000000
39	2908	2019-03-16	400000000
40	638	2019-03-21	100000000
41	2414	2019-04-05	200000000
42	4127	2019-04-07	100000000
43	3976	2019-04-08	100000000
44	2926	2019-04-09	100000000
45	1127	2019-04-12	100000000
46	4153	2019-04-14	100000000
47	2532	2019-04-14	500000000
48	2296	2019-04-14	700000000
49	4127	2019-04-16	200000000
50	4153	2019-04-24	200000000
51	675	2019-04-28	100000000
52	129	2019-04-29	100000000
53	2403	2019-05-01	100000000
54	1109	2019-05-02	300000000
55	4127	2019-05-06	300000000
56	4180	2019-05-08	100000000
57	2582	2019-05-11	800000000
58	3215	2019-05-13	300000000
59	974	2019-05-15	100000000
60	2393	2019-05-15	100000000
61	4153	2019-05-18	300000000
62	2412	2019-05-19	300000000
63	2533	2019-05-19	100000000
64	4173	2019-05-21	100000000
65	1699	2019-05-23	600000000
66	2129	2019-05-26	600000000
67	2363	2019-05-26	500000000
69	508	2019-05-29	200000000
70	2270	2019-06-04	100000000
71	4139	2019-06-04	100000000
72	4127	2019-06-07	400000000
73	268	2019-06-07	400000000
74	2480	2019-06-08	300000000
75	1887	2019-06-13	400000000
76	1616	2019-06-20	400000000
77	4153	2019-06-22	400000000
78	2857	2019-06-27	100000000
79	581	2019-06-30	300000000
80	2908	2019-07-11	500000000
81	3002	2019-07-15	100000000
82	58	2019-07-20	100000000
83	4127	2019-07-24	500000000
84	1700	2019-07-26	400000000
85	821	2019-07-28	400000000
86	2582	2019-07-30	900000000
87	3063	2019-07-31	100000000
88	3550	2019-08-03	100000000
89	1421	2019-08-03	100000000
90	1100	2019-08-09	500000000
91	2296	2019-08-09	800000000
92	2120	2019-08-10	100000000
93	4153	2019-08-10	500000000
94	244	2019-08-10	3400000000
95	578	2019-08-18	200000000
96	2322	2019-08-23	400000000
97	3137	2019-08-29	200000000
98	245	2019-09-01	100000000
99	1597	2019-09-10	600000000
100	1699	2019-09-11	700000000
101	506	2019-09-23	200000000
102	4173	2019-09-23	200000000
103	1881	2019-09-25	500000000
104	4127	2019-09-28	600000000
106	4978	2019-10-14	100000000
107	4680	2019-10-15	100000000
108	3603	2019-10-15	200000000
109	979	2019-10-09	100000000
110	2605	2019-10-24	100000000
113	2129	2019-10-30	700000000
118	4153	2019-11-03	600000000
119	2700	2019-11-03	200000000
120	5004	2019-11-04	100000000
121	2582	2019-11-11	1000000000
122	4160	2019-11-12	100000000
123	1635	2019-11-13	300000000
124	2440	2019-11-21	100000000
125	4139	2019-11-23	200000000
126	2371	2019-12-10	300000000
127	3156	2019-12-11	100000000
128	3215	2019-12-11	400000000
129	4534	2019-12-22	100000000
130	795	2019-12-23	200000000
131	2363	2019-12-25	600000000
132	4127	2020-01-04	700000000
133	2	2020-01-04	100000000
134	860	2020-01-08	300000000
135	2296	2020-01-09	900000000
136	5052	2020-01-10	100000000
137	2908	2020-01-11	600000000
138	541	2020-01-12	100000000
139	2395	2020-01-14	400000000
140	1885	2020-01-22	500000000
141	244	2020-01-25	3500000000
142	4030	2020-02-15	100000000
143	4153	2020-02-21	700000000
144	1943	2020-02-22	300000000
145	1699	2020-02-24	800000000
146	5803	2020-02-28	100000000
147	1610	2020-03-02	100000000
148	1916	2020-03-14	100000000
149	122	2020-03-16	100000000
150	2582	2020-03-24	1100000000
151	5473	2020-03-25	100000000
152	5830	2020-03-25	100000000
153	5053	2020-03-27	200000000
154	2098	2020-03-30	200000000
155	4788	2020-03-31	100000000
156	5672	2020-03-31	100000000
157	252	2020-04-01	1300000000
158	2097	2020-04-01	100000000
159	4770	2020-04-05	100000000
160	4978	2020-04-09	200000000
161	2967	2020-04-10	100000000
162	5264	2020-04-17	100000000
163	785	2020-04-18	200000000
164	4127	2020-04-19	800000000
165	5887	2020-04-21	100000000
166	1886	2020-04-24	200000000
167	244	2020-05-04	3600000000
168	1887	2020-05-07	500000000
169	1963	2020-05-09	400000000
170	2599	2020-05-17	300000000
171	4173	2020-05-22	300000000
172	2532	2020-05-24	700000000
173	1871	2020-05-30	100000000
174	2296	2020-05-31	1000000000
175	4153	2020-06-03	800000000
176	1098	2020-06-05	500000000
177	2950	2020-06-06	100000000
178	5860	2020-06-07	100000000
179	2805	2020-06-10	100000000
180	2129	2020-06-11	800000000
181	4510	2020-06-13	100000000
182	6281	2020-06-14	100000000
183	2412	2020-06-18	400000000
184	1700	2020-06-19	500000000
185	2122	2020-06-19	100000000
186	3976	2020-06-19	200000000
187	5803	2020-06-20	200000000
188	1616	2020-06-22	500000000
189	2480	2020-06-27	400000000
190	6410	2020-06-27	100000000
191	2582	2020-06-28	1200000000
192	1919	2020-07-03	100000000
193	6410	2020-07-03	200000000
194	6237	2020-07-04	100000000
195	4127	2020-07-07	900000000
196	6006	2020-07-08	100000000
197	1881	2020-07-09	600000000
198	1699	2020-07-10	900000000
199	1019	2020-07-14	200000000
200	2908	2020-07-16	700000000
201	6410	2020-07-17	300000000
202	244	2020-07-18	3700000000
203	2363	2020-07-20	700000000
204	6763	2020-07-21	100000000
205	4834	2020-07-25	100000000
206	3215	2020-07-27	500000000
207	927	2020-08-06	100000000
208	1579	2020-08-07	400000000
209	6410	2020-08-08	400000000
210	1598	2020-08-09	100000000
211	5317	2020-08-12	100000000
212	451	2020-08-14	100000000
213	2613	2020-08-16	200000000
214	3603	2020-08-19	300000000
215	6763	2020-08-20	200000000
216	4153	2020-08-21	900000000
217	7120	2020-08-22	100000000
218	6411	2020-08-22	100000000
219	7120	2020-08-25	200000000
220	6353	2020-08-27	100000000
221	7198	2020-08-29	100000000
222	4127	2020-09-02	1000000000
223	2582	2020-09-05	1300000000
224	7120	2020-09-05	300000000
225	6410	2020-09-07	500000000
226	7198	2020-09-07	200000000
227	5887	2020-09-08	200000000
228	6763	2020-09-20	300000000
229	2672	2020-09-21	200000000
230	7120	2020-09-25	400000000
231	7098	2020-09-27	100000000
232	244	2020-09-30	3800000000
233	7198	2020-10-01	300000000
234	4528	2020-10-02	200000000
235	2296	2020-10-04	1100000000
236	5004	2020-10-04	200000000
237	7390	2020-10-05	100000000
238	2883	2020-10-07	100000000
239	1699	2020-10-12	1000000000
240	4139	2020-10-14	300000000
241	5830	2020-10-15	200000000
242	7120	2020-10-19	500000000
243	2604	2020-10-19	200000000
244	6410	2020-10-21	600000000
245	4153	2020-10-24	1000000000
246	6281	2020-10-24	200000000
247	7390	2020-10-25	200000000
248	2532	2020-10-31	800000000
249	6763	2020-11-03	400000000
250	2129	2020-11-03	900000000
251	6146	2020-11-05	100000000
252	7726	2020-11-06	100000000
253	4127	2020-11-09	1100000000
254	4068	2020-11-10	100000000
255	1100	2020-11-11	600000000
256	7547	2020-11-11	100000000
257	6430	2020-11-15	100000000
258	5046	2020-11-15	100000000
259	7198	2020-11-16	400000000
260	7120	2020-11-16	600000000
261	5473	2020-11-17	200000000
262	5860	2020-11-19	200000000
263	5208	2020-11-21	100000000
264	7992	2020-11-22	100000000
265	2582	2020-11-22	1400000000
266	7140	2020-11-23	100000000
267	2363	2020-11-30	800000000
268	2908	2020-12-02	800000000
269	771	2020-12-02	100000000
270	7273	2020-12-02	100000000
271	4978	2020-12-07	300000000
272	5061	2020-12-09	100000000
273	2607	2020-12-10	200000000
274	5803	2020-12-12	300000000
275	7478	2020-12-15	100000000
276	5264	2020-12-15	200000000
277	7120	2020-12-17	700000000
278	6410	2020-12-19	700000000
279	7992	2020-12-19	200000000
280	244	2020-12-20	3900000000
281	2127	2020-12-23	100000000
282	7390	2020-12-24	300000000
283	1887	2020-12-28	600000000
284	1700	2020-12-29	600000000
285	6763	2021-01-05	500000000
286	7976	2021-01-07	100000000
287	256	2021-01-08	300000000
288	7726	2021-01-10	200000000
289	4524	2021-01-11	100000000
290	4153	2021-01-13	1100000000
291	3215	2021-01-14	600000000
292	821	2021-01-16	500000000
293	2414	2021-01-17	300000000
294	4673	2021-01-19	100000000
295	7120	2021-01-24	800000000
296	5861	2021-01-24	100000000
297	7361	2021-01-30	100000000
298	1699	2021-02-04	1100000000
299	2711	2021-02-07	100000000
300	4127	2021-02-08	1200000000
301	2322	2021-02-09	500000000
302	2296	2021-02-10	1200000000
303	7198	2021-02-14	500000000
304	4680	2021-02-18	200000000
305	7225	2021-02-19	100000000
306	2806	2021-02-20	100000000
307	1881	2021-02-20	700000000
308	2582	2021-02-23	1500000000
309	2194	2021-03-01	300000000
310	6237	2021-03-01	200000000
311	244	2021-03-06	4000000000
312	6353	2021-03-07	200000000
313	7120	2021-03-09	900000000
314	4370	2021-03-10	100000000
315	6410	2021-03-13	800000000
316	6763	2021-03-13	600000000
317	424	2021-03-15	100000000
318	1408	2021-03-15	100000000
319	1566	2021-03-15	100000000
320	906	2021-03-17	100000000
321	3243	2021-03-17	200000000
322	4173	2021-03-19	400000000
323	10436	2021-03-19	100000000
324	4160	2021-03-20	200000000
325	5669	2021-03-20	100000000
326	6912	2021-03-20	100000000
327	1109	2021-03-22	400000000
328	3002	2021-03-22	200000000
329	5284	2021-03-23	100000000
330	7992	2021-03-27	300000000
331	5887	2021-03-29	300000000
332	4172	2021-03-30	100000000
333	1943	2021-04-04	400000000
334	1059	2021-04-05	200000000
335	5672	2021-04-05	200000000
336	2532	2021-04-07	900000000
337	2363	2021-04-11	900000000
338	2395	2021-04-11	500000000
339	3137	2021-04-12	300000000
340	7120	2021-04-12	1000000000
341	4153	2021-04-14	1200000000
342	1407	2021-04-15	100000000
343	1858	2021-04-15	200000000
344	3603	2021-04-18	400000000
345	7390	2021-04-19	400000000
346	2129	2021-04-23	1000000000
347	2908	2021-04-24	900000000
348	11191	2021-04-29	100000000
349	528	2021-04-30	100000000
350	5050	2021-04-30	100000000
351	252	2021-05-01	1400000000
352	2514	2021-05-02	100000000
353	2344	2021-05-04	200000000
354	1598	2021-05-05	200000000
355	5053	2021-05-14	300000000
356	4388	2021-05-15	100000000
357	7726	2021-05-15	300000000
358	262	2021-05-19	200000000
359	5561	2021-05-21	100000000
360	13357	2021-05-21	100000000
361	1421	2021-05-21	200000000
362	4127	2021-05-22	1300000000
363	12602	2021-05-22	100000000
364	2107	2021-05-23	200000000
365	2480	2021-05-23	500000000
366	6763	2021-05-23	700000000
367	2412	2021-05-24	500000000
368	5028	2021-05-25	100000000
369	13357	2021-05-25	200000000
370	7727	2021-05-26	100000000
371	7120	2021-05-31	1100000000
372	2582	2021-06-03	1600000000
373	6786	2021-06-03	100000000
374	13357	2021-06-04	300000000
375	1699	2021-06-07	1200000000
376	13079	2021-06-09	100000000
377	296	2021-06-10	100000000
378	13275	2021-06-18	100000000
379	14265	2021-06-20	100000000
380	3095	2021-06-23	200000000
381	6410	2021-06-24	900000000
382	244	2021-06-27	4100000000
383	13357	2021-06-28	400000000
384	1597	2021-07-02	700000000
385	2296	2021-07-02	1300000000
386	7227	2021-07-05	100000000
387	11395	2021-07-05	100000000
388	5860	2021-07-06	300000000
389	1017	2021-07-09	200000000
390	8021	2021-07-09	100000000
391	15120	2021-07-11	100000000
392	7547	2021-07-12	200000000
393	10436	2021-07-12	200000000
394	1616	2021-07-14	600000000
395	4153	2021-07-18	1300000000
396	7198	2021-07-21	600000000
397	1057	2021-07-25	100000000
398	15120	2021-07-25	200000000
399	2363	2021-07-26	1000000000
400	6430	2021-07-28	200000000
401	298	2021-07-30	200000000
402	2599	2021-07-31	400000000
403	1010	2021-07-31	200000000
404	7120	2021-08-06	1200000000
405	13357	2021-08-06	500000000
406	3156	2021-08-08	200000000
407	13601	2021-08-08	100000000
408	1915	2021-08-09	200000000
409	3215	2021-08-09	700000000
410	6763	2021-08-09	800000000
411	2513	2021-08-17	100000000
412	7316	2021-08-18	100000000
413	9194	2021-08-20	100000000
414	7273	2021-08-25	200000000
415	4044	2021-08-26	100000000
416	2700	2021-08-28	300000000
417	1963	2021-09-01	500000000
418	1885	2021-09-06	600000000
419	2532	2021-09-07	1000000000
420	5803	2021-09-08	400000000
421	5473	2021-09-08	300000000
422	415	2021-09-10	300000000
423	15120	2021-09-10	300000000
424	1700	2021-09-11	700000000
425	2908	2021-09-11	1000000000
426	16456	2021-09-12	100000000
427	4180	2021-09-13	200000000
428	6411	2021-09-16	200000000
429	8163	2021-09-16	100000000
430	4139	2021-09-18	400000000
431	10530	2021-09-20	100000000
432	2582	2021-09-23	1700000000
433	16456	2021-09-23	200000000
434	4127	2021-09-25	1400000000
435	5004	2021-09-29	300000000
436	244	2021-09-30	4200000000
437	2795	2021-10-05	200000000
438	6237	2021-10-06	300000000
439	16761	2021-10-08	100000000
440	1881	2021-10-10	800000000
441	1098	2021-10-12	600000000
442	4202	2021-10-14	100000000
443	5515	2021-10-16	100000000
444	16150	2021-10-17	100000000
445	7478	2021-10-18	200000000
446	251	2021-10-19	800000000
447	16896	2021-10-23	100000000
448	5574	2021-10-27	100000000
449	16456	2021-10-27	300000000
450	8136	2021-10-28	100000000
451	1887	2021-10-29	700000000
452	7390	2021-10-29	500000000
453	3454	2021-10-31	100000000
454	16761	2021-10-31	200000000
455	1699	2021-10-31	1300000000
456	16861	2021-11-01	100000000
457	13357	2021-11-01	600000000
458	7992	2021-11-03	400000000
459	747	2021-11-05	300000000
460	6763	2021-11-07	900000000
461	5264	2021-11-12	300000000
462	6410	2021-11-12	1000000000
463	15570	2021-11-13	100000000
464	2129	2021-11-18	1100000000
465	7120	2021-11-19	1300000000
466	16765	2021-11-20	100000000
467	4153	2021-11-23	1400000000
468	16761	2021-11-28	300000000
469	2336	2021-12-02	100000000
470	6958	2021-12-08	100000000
471	1635	2021-12-08	400000000
472	342	2021-12-09	100000000
473	2371	2021-12-10	400000000
474	2363	2021-12-10	1100000000
475	1886	2021-12-11	300000000
476	2857	2021-12-13	200000000
477	14265	2021-12-16	200000000
478	15120	2021-12-19	400000000
479	5887	2021-12-20	400000000
480	97	2021-12-21	100000000
481	663	2021-12-23	100000000
482	2480	2021-12-27	600000000
483	7361	2021-12-30	200000000
484	4978	2021-12-31	400000000
485	244	2022-01-06	4300000000
486	1544	2022-01-09	100000000
487	16456	2022-01-09	400000000
488	16761	2022-01-10	400000000
489	5033	2022-01-12	100000000
490	7976	2022-01-14	200000000
491	5051	2022-01-15	100000000
492	2519	2022-01-19	100000000
493	2296	2022-01-20	1400000000
494	5206	2022-01-25	100000000
495	16861	2022-01-25	200000000
496	268	2022-01-25	500000000
497	4127	2022-01-25	1500000000
498	13275	2022-01-27	200000000
499	6353	2022-01-30	300000000
500	7726	2022-01-30	400000000
501	2582	2022-02-01	1800000000
502	2201	2022-02-04	100000000
503	5069	2022-02-06	100000000
504	6763	2022-02-07	1000000000
505	1100	2022-02-09	700000000
506	4179	2022-02-12	100000000
507	7198	2022-02-12	700000000
508	12602	2022-02-22	200000000
509	13357	2022-02-22	700000000
510	17532	2022-02-23	100000000
511	6281	2022-02-24	300000000
512	4406	2022-02-24	100000000
513	7120	2022-02-24	1400000000
514	1410	2022-02-28	100000000
515	1598	2022-03-05	300000000
516	17800	2022-03-07	100000000
517	581	2022-03-10	400000000
518	1415	2022-03-13	100000000
519	4173	2022-03-14	500000000
520	1949	2022-03-14	300000000
521	16761	2022-03-15	500000000
522	13601	2022-03-16	200000000
523	3215	2022-03-16	800000000
524	3778	2022-03-17	100000000
525	5830	2022-03-18	300000000
526	16075	2022-03-19	100000000
527	3603	2022-03-22	500000000
528	8287	2022-03-24	100000000
529	14095	2022-03-25	100000000
530	2908	2022-04-03	1100000000
531	1976	2022-04-06	100000000
532	860	2022-04-13	400000000
533	18344	2022-04-16	100000000
534	18320	2022-04-17	100000000
535	4153	2022-04-21	1500000000
536	1699	2022-04-22	1400000000
537	2532	2022-04-22	1100000000
538	8027	2022-04-23	100000000
539	13566	2022-04-23	100000000
540	244	2022-04-27	4400000000
541	578	2022-04-28	300000000
542	19300	2022-04-29	100000000
543	1406	2022-05-02	100000000
544	917	2022-05-02	100000000
545	20157	2022-05-06	100000000
546	6763	2022-05-10	1100000000
547	16150	2022-05-11	200000000
548	285	2022-05-14	100000000
549	642	2022-05-17	100000000
550	6410	2022-05-30	1100000000
551	2099	2022-05-30	300000000
552	2363	2022-05-31	1200000000
553	20157	2022-06-02	200000000
554	4201	2022-06-12	100000000
555	3976	2022-06-12	300000000
556	15120	2022-06-13	500000000
557	8530	2022-06-14	100000000
558	16896	2022-06-15	200000000
559	19698	2022-06-15	100000000
560	7120	2022-06-16	1500000000
